"County","Waste_Type","Permit_ID","Permit_Name","Address3","City","Zip","lat","long"
"Wake","CD","9237T-TRANSFER-2020","Capitol Waste Transfer, LLC","424 Warehouse Dr","Raleigh","27610",35.752327,-78.631744
"Wake","CD","9240-MWP-2017","Elite Waste Services Pristine Water Facility","520 Pristine Water Dr.","Apex","27539",35.7088,-78.828606
"Wake","CD","9242-MWP-2020","Wall Recycling - Garner Road","2310 Garner Road","Raleigh","27610",35.7487,-78.63173
"Washington","CD","9404-CDLF-1996","Washington County C&D Landfill","718 Landfill Road","Roper","27910",35.917,-76.66468
"Wayne","CD","9601-CDLF-1997","Wayne County CDLF","460B South Landfill Road","Dudley","28333",35.288517,-78.07519
"Alexander","CD","0201-CDLF-1997","Alexander County CDLF","2500 Paynes Dairy Road","Taylorsville","28681",35.83881,-81.14778
"Avery","CD","0603-CDLF-1996","Avery County C&D Landfill","2175 Brushy Creek Rd","Spruce Pine",NA,35.95062,-82.0005
"Cabarrus","CD","1302-CDLF-2006","Cabarrus County CDLF","4441 Irish Potato Road","Concord","28026",35.47773,-80.51696
"Chatham","CD","1912-TP-2020","Pinnacle Waste Goldson Facility","13415 Hwy 421","Goldston","27252",35.57112,-79.29744
"Cleveland","CD","2301-CDLF-1997","Cleveland County CDLF","1607 Airport Rd","Shelby","28150",35.32646,-81.48357
"Columbus","CD","2404-TRANSFER-2020","Big D T&P Facility","1535 Old 87 Road","Delco",NA,34.3141,-78.20673
"Cumberland","CD","2613-TRANSFER-2010","AAA Hauling Of NC Inc","1171 S Eastern Blvd","Fayetteville","28306",35.02764,-78.88372
"Dare","CD","2803-CDLF-1995","Dare County C&D Landfill","1603 Cub Rd","Manns Harbor",NA,35.83132,-75.81818
"Edgecombe","CD","3301-CDLF-1997","Edgecombe County CDLF","2872 Colonial Road","Tarboro","27886",35.82237,-77.56314
"Greene","CD","4002-CDLF-1997","Greene County CDLF","105 Landfill Rd.","Walstonburg",NA,35.52534,-77.69504
"Halifax","CD","4204-CDLF-2013","Halifax County Landfill","921 Liles Rd.","Littleton",NA,36.37977,-77.81444
"Harnett","CD","4303-CDLF-1997","Harnett Co. Anderson Creek C&D Landfill","1086 Poplar Drive","Lillington","27546",35.29316,-78.99493
"Jones","CD","5202-TP-2012","Maysville C&D Recycling & Recovery Facility","11710 NC Hwy 17","Maysville",NA,34.9274,-77.23988
"Jones","CD","5203-CDLF-2013","Maysville C & D","11710 NC Hwy 17","Maysville",NA,34.9274,-77.23988
"Martin","CD","5901-CDLF-1995","Martin County C&D Landfill","1445 Landfill Rd","Williamston","27892",35.86478,-77.09429
"Moore","CD","6301-CDLF-1992","Moore County C&D Landfill","456 Turning Leaf Way","Aberdeen",NA,35.14759,-79.48121
"Onslow","CD","6712-TRANSFER-2016","Folkstone C&D Recycling Collection/Transfer Facility","1172 Hwy 172","Jacksonville","28546",34.53931339,-77.50271081
"Pitt","CD","7404-MWP-2016","Pitt County Materials Recovery & Recycling Facility","3025 Landfill Road","Greenville","27834",35.59802446,-77.43172905
"Robeson","CD","7803-CDLF-1997","Robeson County CDLF","246 Landfill Road","Saint Pauls","28384",34.79254286,-78.91135747
"Scotland","CD","8301-CDLF-1997","Scotland County CDLF","10681 Patterson Rd","Maxton","28352",34.72503024,-79.38609846
